timestamp (ms),stateEstimate.x,stateEstimate.y,stateEstimate.z,stateEstimate.vx,stateEstimate.vy,stateEstimate.vz
32405,0.0,0.0,0.0,0.0,0.0,0.0
32415,0.0,0.0,0.0,0.0,0.0,0.0
32425,0.0,0.0,0.0,0.0,0.0,0.0
32435,0.0,0.0,0.0,0.0,0.0,0.0
32445,0.0,0.0,0.0,0.0,0.0,0.0
32455,0.0,0.0,0.0,0.0,0.0,0.0
32465,0.0,0.0,0.0,0.0,0.0,0.0
32475,0.0,0.0,0.0,0.0,0.0,0.0
32485,0.0,0.0,0.0,0.0,0.0,0.0
32495,0.0,0.0,0.0,0.0,0.0,0.0
32505,0.0,0.0,0.0,0.0,0.0,0.0
32515,0.0,0.0,0.0,0.0,0.0,0.0
32525,0.0,0.0,0.0,0.0,0.0,0.0
32535,0.0,0.0,0.0,0.0,0.0,0.0
32545,0.0,0.0,0.0,0.0,0.0,0.0
32555,0.0,0.0,0.0,0.0,0.0,0.0
32565,0.0,0.0,0.0,0.0,0.0,0.0
32575,0.0,0.0,0.0,0.0,0.0,0.0
32585,0.0,0.0,0.0,0.0,0.0,0.0
32595,0.0,0.0,0.0,0.0,0.0,0.0
32605,0.0,0.0,0.0,0.0,0.0,0.0
32615,0.0,0.0,0.0,0.0,0.0,0.0
32625,0.0,0.0,0.0,0.0,0.0,0.0
32635,0.0,0.0,0.0,0.0,0.0,0.0
32645,0.0,0.0,0.0,0.0,0.0,0.0
32655,0.0,0.0,0.0,0.0,0.0,0.0
32665,0.0,0.0,0.0,0.0,0.0,0.0
32675,0.0,0.0,0.0,0.0,0.0,0.0
32685,0.0,0.0,0.0,0.0,0.0,0.0
32695,0.0,0.0,0.0,0.0,0.0,0.0
32705,0.0,0.0,0.0,0.0,0.0,0.0
32715,0.0,0.0,0.0,0.0,0.0,0.0
32725,0.0,0.0,0.0,0.0,0.0,0.0
32735,0.0,0.0,0.0,0.0,0.0,0.0
32745,0.0,0.0,0.0,0.0,0.0,0.0
32755,0.0,0.0,0.0,0.0,0.0,0.0
32765,0.0,0.0,0.0,0.0,0.0,0.0
32775,0.0,0.0,0.0,0.0,0.0,0.0
32785,0.0,0.0,0.0,0.0,0.0,0.0
